TP,FN,FP,TN,cutoff-grp,type,cutoff
12,0,29,289,1,SQ,15
10,2,14,72,2,SQ,1000
17,1,36,85,1,SQ,15
13,0,18,67,2,SQ,1000
4,0,21,225,1,SQ,15
15,2,122,403,1,SQ,15
45,5,28,34,2,SQ,1000
18,4,69,133,2,SQ,1000
5,0,11,34,1,SQ,15
8,9,15,96,2,SQ,1000
5,0,7,63,3,SQ,any-growth
11,2,122,610,1,SQ,15
5,1,6,145,1,SQ,15
7,5,25,342,1,SQ,15
10,1,93,296,1,SQ,15
5,5,41,271,1,SQ,15
5,0,15,53,1,SQ,15
55,13,19,913,1,SQ,15
6,2,12,30,2,SQ,1000
42,26,19,913,1,Q,15
5,3,5,37,2,Q,1000
13,0,11,125,2,Q,1000
20,0,24,287,2,Q,1000
7,6,13,72,2,Q,1000
48,2,15,47,2,Q,1000
11,1,14,72,2,Q,1000
15,5,32,170,2,Q,1000
68,13,5,11,2,Q,1000
13,1,5,72,2,Q,1000
8,3,66,323,1,Q,15
13,1,98,293,2,Q,1000
14,1,0,155,3,Q,4-fold
8,2,4,60,2,Q,1000
